timestamp_sec,x,y,z,qx,qy,qz,qw,status
1771469608.000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,1.000000,OK
1771469608.010,0.001200,0.002100,0.000050,0.000050,-0.000010,0.000200,0.999999,OK
1771469608.020,0.002350,0.004150,0.000100,0.000100,-0.000020,0.000400,0.999999,OK
1771469608.030,0.003500,0.006200,0.000150,0.000150,-0.000030,0.000600,0.999999,OK
1771469608.040,0.004700,0.008250,0.000200,0.000200,-0.000040,0.000800,0.999999,OK
1771469608.050,0.005900,0.010300,0.000250,0.000250,-0.000050,0.001000,0.999999,OK
1771469608.060,0.007050,0.012350,0.000300,0.000300,-0.000060,0.001200,0.999999,OK
1771469608.070,0.008250,0.014400,0.000350,0.000350,-0.000070,0.001400,0.999998,OK
1771469608.080,0.009400,0.016450,0.000400,0.000400,-0.000080,0.001600,0.999998,OK
1771469608.090,0.010600,0.018500,0.000450,0.000450,-0.000090,0.001800,0.999998,OK
